,file_name,compile_time,run_time,status,timer_line,total_time
0,01_mm1.c,209ms,2558ms,AC,0616-4096,2317985
1,01_mm2.c,111ms,2134ms,AC,0874-4096,1908023
2,01_mm3.c,114ms,1643ms,AC,0856-4096,1413466
3,03_sort1.c,121ms,999ms,AC,1000000-0007,466691
4,03_sort2.c,125ms,22850ms,AC,30000000-0007,9079897
5,03_sort3.c,120ms,3866ms,AC,5000000-0007,1540737
6,04_spmv1.c,107ms,2039ms,AC,50000-1436870920,1092930
7,04_spmv2.c,107ms,1284ms,AC,100000-1434870920,689578
8,04_spmv3.c,107ms,1834ms,AC,1000-1436870920,983377
9,fft0.c,133ms,6481ms,AC,50000-0000,6373055
10,fft1.c,135ms,13728ms,AC,100000-0000,13521119
11,fft2.c,126ms,13292ms,AC,150000-0000,13131618
12,gameoflife-gosper.c,120ms,6892ms,AC,0010-1432871228,6872459
13,gameoflife-oscillator.c,114ms,6050ms,AC,0010-1432771028,6033458
14,gameoflife-p61glidergun.c,112ms,6005ms,AC,0010-1433240044,5960051
15,h-1-01.c,102ms,123817ms,AC,100000000-0107,123801451
16,h-1-02.c,107ms,10644ms,AC,10000000-0145,10628926
17,h-1-03.c,103ms,58920ms,AC,50000000-0106,58904240
18,h-2-01.c,104ms,25163ms,AC,0001--1423288296,25148632
19,h-2-02.c,109ms,24736ms,AC,0001--1423287896,24722644
20,h-2-03.c,106ms,30160ms,AC,0001--1423292296,30145881
21,h-3-01.c,115ms,1189ms,AC,640000-3200,632368
22,h-3-02.c,113ms,1189ms,AC,640000-3200,641566
23,h-3-03.c,113ms,1173ms,AC,640000-3200,623960
24,h-4-01.c,103ms,2041ms,AC,0003-0010,2026455
25,h-4-02.c,107ms,6742ms,AC,0006-0010,6725836
26,h-4-03.c,103ms,12593ms,AC,0006-0010,12578376
27,h-5-01.c,112ms,2291ms,AC,1400-1400,1483551
28,h-5-02.c,115ms,2301ms,AC,1400-1400,1491139
29,h-5-03.c,113ms,2322ms,AC,1400-1400,1496843
30,h-6-01.c,-1ms,-1ms,0,200000000-200000000,10637539
31,h-6-02.c,-1ms,-1ms,0,300000000-300000000,15967172
32,h-6-03.c,-1ms,-1ms,0,400000000-400000000,21260708
33,h-7-01.c,101ms,2516ms,AC,600000-0000,1077052
34,h-8-01.c,165ms,3829ms,AC,1960000-1439516408,1637983
35,h-8-02.c,172ms,3914ms,AC,1960000-1439516408,1773537
36,h-8-03.c,152ms,4012ms,AC,1960000-1439516408,1876077
37,if-combine1.c,136ms,4433ms,AC,0001-0010,4418163
38,if-combine2.c,136ms,6606ms,AC,0001-0010,6592712
39,if-combine3.c,133ms,10737ms,AC,0001-0010,10722018
40,large_loop_array_1.c,134ms,11012ms,AC,2048--1423276488,10995725
41,large_loop_array_2.c,107ms,21758ms,AC,4096--1423284680,21741849
42,large_loop_array_3.c,127ms,9053ms,AC,8192--1423301064,9035832
43,matmul1.c,139ms,2470ms,AC,1000-1435674800,1934767
44,matmul2.c,130ms,2403ms,AC,1000-1435674800,1910948
45,matmul3.c,129ms,2407ms,AC,1000-1435674800,1917660
46,recursive_call_1.c,133ms,58529ms,AC,0001-0112,58514227
47,recursive_call_2.c,137ms,14641ms,AC,0001-0112,14625210
48,recursive_call_3.c,130ms,29763ms,AC,0001-0112,29744777
49,shuffle0.c,145ms,1889ms,AC,100000-9331,1654638
50,shuffle1.c,142ms,3983ms,AC,100000-17646,2647225
51,shuffle2.c,156ms,14849ms,AC,5000000-16081,3516872
52,sl1.c,140ms,2437ms,AC,0003--2396,2416581
53,sl2.c,124ms,720ms,AC,0003--2396,698502
54,sl3.c,178ms,348ms,AC,0003--2396,329004
55,transpose0.c,182ms,1200ms,AC,0030--001,1179073
56,transpose1.c,132ms,1771ms,AC,0040--001,1753114
57,transpose2.c,123ms,3589ms,AC,0100--001,3570565
