,file_name,compile_time,run_time,status,timer_line,total_time
0,01_mm1.sy,401ms,3386ms,AC,0065-0084,3149455
1,01_mm2.sy,399ms,3004ms,AC,0065-0084,2772090
2,01_mm3.sy,402ms,2361ms,AC,0065-0084,2122669
3,03_sort1.sy,2301ms,4186ms,AC,0090-0102,3650519
4,03_sort2.sy,2271ms,52743ms,AC,0090-0102,39489991
5,03_sort3.sy,2304ms,11431ms,AC,0090-0102,9044683
6,04_spmv1.sy,412ms,2280ms,AC,0039-0047,1334690
7,04_spmv2.sy,418ms,1480ms,AC,0039-0047,891072
8,04_spmv3.sy,421ms,2053ms,AC,0039-0047,1191864
9,fft0.sy,738ms,8710ms,AC,0060-0079,8605778
10,fft1.sy,742ms,18551ms,AC,0060-0079,18351782
11,fft2.sy,745ms,18080ms,AC,0060-0079,17916934
12,gameoflife-gosper.sy,1207ms,37146ms,AC,0095-0106,37126449
13,gameoflife-oscillator.sy,1204ms,21167ms,AC,0095-0106,21150870
14,gameoflife-p61glidergun.sy,1213ms,20788ms,AC,0095-0106,20743626
15,h-1-01.sy,72ms,131507ms,AC,0022-0027,131492640
16,h-1-02.sy,73ms,11507ms,AC,0022-0027,11491228
17,h-1-03.sy,71ms,63149ms,AC,0022-0027,63134367
18,h-2-01.sy,267ms,26169ms,AC,0022-0039,26153947
19,h-2-02.sy,263ms,25471ms,AC,0022-0039,25456428
20,h-2-03.sy,266ms,31465ms,AC,0022-0039,31450677
21,h-3-01.sy,987ms,2709ms,AC,0079-0081,2124184
22,h-3-02.sy,976ms,2792ms,AC,0079-0081,2217442
23,h-3-03.sy,983ms,2773ms,AC,0079-0081,2190941
24,h-4-01.sy,151ms,2769ms,AC,0033-0042,2753597
25,h-4-02.sy,145ms,9072ms,AC,0033-0042,9056699
26,h-4-03.sy,142ms,17231ms,AC,0033-0042,17216917
27,h-5-01.sy,873ms,8994ms,AC,0068-0070,8150605
28,h-5-02.sy,872ms,9009ms,AC,0068-0071,8167476
29,h-5-03.sy,872ms,8823ms,AC,0068-0071,7994358
30,h-6-01.sy,146ms,15539ms,AC,0041-0043,15523747
31,h-6-02.sy,148ms,23162ms,AC,0041-0043,23146931
32,h-6-03.sy,143ms,31045ms,AC,0041-0043,31029826
33,h-7-01.sy,280ms,2605ms,AC,0033-0041,1186007
34,h-8-01.sy,1077ms,6168ms,AC,0079-0081,4398393
35,h-8-02.sy,1074ms,6154ms,AC,0079-0081,4389598
36,h-8-03.sy,1086ms,6154ms,AC,0079-0081,4397899
37,if-combine1.sy,10771ms,11616ms,AC,0324-0328,11602321
38,if-combine2.sy,10783ms,17358ms,AC,0324-0328,17344914
39,if-combine3.sy,10797ms,27702ms,AC,0324-0328,27686870
40,large_loop_array_1.sy,276ms,10767ms,AC,0022-0039,10751571
41,large_loop_array_2.sy,275ms,21629ms,AC,0022-0039,21613877
42,large_loop_array_3.sy,279ms,8616ms,AC,0022-0039,8601052
43,matmul1.sy,778ms,3866ms,AC,0023-0092,3412612
44,matmul2.sy,779ms,3853ms,AC,0023-0092,3406362
45,matmul3.sy,776ms,7234ms,AC,0023-0092,6746260
46,recursive_call_1.sy,50ms,51954ms,AC,0021-0032,51940732
47,recursive_call_2.sy,51ms,13025ms,AC,0021-0032,13011728
48,recursive_call_3.sy,51ms,26000ms,AC,0021-0032,25986690
49,shuffle0.sy,1409ms,5318ms,AC,0078-0090,5117342
50,shuffle1.sy,1437ms,3654ms,AC,0078-0090,2573028
51,shuffle2.sy,1570ms,12505ms,AC,0078-0090,2773075
52,sl1.sy,6460ms,3976ms,AC,0013-0053,3915263
53,sl2.sy,4768ms,1408ms,AC,0013-0053,1368083
54,sl3.sy,5066ms,663ms,AC,0013-0053,624989
55,transpose0.sy,337ms,1498ms,AC,0028-0047,1479748
56,transpose1.sy,340ms,2366ms,AC,0028-0047,2348522
57,transpose2.sy,319ms,3911ms,AC,0028-0047,3894251
